OccupationTitle,MedianWeeklySalary
Pipelayers plumbers pipefitters and steamfitters,921
Plasterers and stucco masons,-
Reinforcing iron and rebar workers,-
Roofers,687
Sheet metal workers,881
Structural iron and steel workers,934
Solar photovoltaic installers,-
Helpers construction trades,620
Construction and building inspectors,996
Elevator installers and repairers,-
Fence erectors,-
Hazardous materials removal workers,-
Highway maintenance workers,781
Rail-track laying and maintenance equipment operators,-
Septic tank servicers and sewer pipe cleaners,-
Miscellaneous construction and related workers,-
Derrick rotary drill and service unit operators oil gas and mining,-
Earth drillers except oil and gas,-
Explosives workers ordnance handling experts and blasters,-
Mining machine operators,1402
Roof bolters mining,-
Roustabouts oil and gas,-
Helpers--extraction workers,-
Other extraction workers,-
Installation maintenance and repair occupations,934
First-line supervisors of mechanics installers and repairers,1087
Computer automated teller and office machine repairers,932
Radio and telecommunications equipment installers and repairers,1131
Avionics technicians,-
Electric motor power tool and related repairers,-
Electrical and electronics installers and repairers transportation equipment,-
Electrical and electronics repairers industrial and utility,-
Electronic equipment installers and repairers motor vehicles,-
Electronic home entertainment equipment installers and repairers,-
Security and fire alarm systems installers,-
Aircraft mechanics and service technicians,1117
Automotive body and related repairers,820
Automotive glass installers and repairers,-
Automotive service technicians and mechanics,800
Bus and truck mechanics and diesel engine specialists,942
Heavy vehicle and mobile equipment service technicians and mechanics,1013
Small engine mechanics,-
Miscellaneous vehicle and mobile equipment mechanics installers and repairers,611
Control and valve installers and repairers,-
Heating air conditioning and refrigeration mechanics and installers,890
Home appliance repairers,-
Industrial and refractory machinery mechanics,981
Maintenance and repair workers general,870
Maintenance workers machinery,-
Millwrights,-
Electrical power-line installers and repairers,1300
Telecommunications line installers and repairers,1014
Precision instrument and equipment repairers,-
Wind turbine service technicians,-
Coin vending and amusement machine servicers and repairers,-
Commercial divers,-
Locksmiths and safe repairers,-
Manufactured building and mobile home installers,-
Riggers,-
Signal and track switch repairers,-
Helpers--installation maintenance and repair workers,-
Other installation maintenance and repair workers,827
Production transportation and material moving occupations,707
